,accuracy,precision,recall,f1,spd,intersectional_spd,average_odds_difference,equal_opportunity_difference,differential_fairness,df_bias_amplification,fold,model,lr,lambda_reg
0,0.83,0.75,0.45,0.56,-0.11,0.19,-0.1,-0.14,2.29,0.9,0,vanilla,0.003,
1,0.83,0.76,0.44,0.55,-0.1,0.17,-0.08,-0.11,2.02,0.63,0,adversary,0.003,0.5
2,0.76,0.98,0.32,0.44,-0.0,0.01,-0.0,-0.01,2.26,0.86,0,improved,0.003,
3,0.83,0.77,0.43,0.55,-0.12,0.18,-0.12,-0.2,2.55,0.88,1,vanilla,0.003,
4,0.83,0.69,0.51,0.59,-0.12,0.2,-0.04,-0.05,1.92,0.25,1,adversary,0.003,0.5
5,0.78,0.94,0.37,0.44,-0.02,0.03,-0.04,-0.08,4.41,2.74,1,improved,0.003,
6,0.83,0.81,0.39,0.53,-0.09,0.15,-0.08,-0.12,2.4,0.9,2,vanilla,0.003,
7,0.83,0.76,0.43,0.55,-0.09,0.16,-0.06,-0.08,2.11,0.61,2,adversary,0.003,0.5
8,0.76,0.92,0.01,0.37,0.0,0.0,-0.01,-0.01,2.4,0.9,2,improved,0.003,
9,0.83,0.76,0.41,0.53,-0.12,0.18,-0.14,-0.23,2.36,1.07,3,vanilla,0.003,
10,0.84,0.71,0.5,0.59,-0.14,0.2,-0.12,-0.19,1.75,0.46,3,adversary,0.003,0.5
11,0.79,0.79,0.34,0.34,-0.06,0.07,-0.08,-0.16,4.15,2.86,3,improved,0.003,
12,0.83,0.73,0.47,0.57,-0.14,0.21,-0.14,-0.22,2.41,0.93,4,vanilla,0.003,
13,0.83,0.73,0.48,0.58,-0.13,0.2,-0.12,-0.18,1.88,0.4,4,adversary,0.003,0.5
14,0.8,0.81,0.42,0.39,-0.09,0.11,-0.14,-0.24,4.27,2.79,4,improved,0.003,
